#{"t_start": 1618866105.2109747, "env_id": "JSBSim-v0"}
r,l,t
-2.927868,97,8.631134
10.0,1,8.632477
-5.017543,85,12.755941
-3.577513,124,18.867907
-1.934287,94,23.405546
-3.551903,79,27.374665
-2.519999,120,33.462381
-1.346463,80,37.629274
-2.127552,99,42.520967
9.973554,13,43.264243
-2.171885,118,49.305612
-3.58942,97,54.139548
-1.864123,116,59.951922
-2.433611,94,64.606096
-5.224107,122,70.692944
-2.405276,99,75.570473
-2.123034,109,81.044068
-2.724577,73,84.752046
-2.529643,121,90.814167
-1.24371,82,94.82006
-2.889018,100,99.685418
-1.769155,84,103.77862
-2.4363,107,108.987902
-1.929678,115,114.604882
-3.365853,90,119.010699
-2.458642,96,123.645737
-1.304677,110,129.074954
9.997198,3,129.19808
-3.304729,109,134.536526
-1.827495,118,140.351788
-1.376266,117,146.205938
-2.444985,106,151.417039
-2.00523,118,157.233465
-1.551514,113,162.841394
-1.173764,102,167.765292
-2.106391,88,172.064679
-2.600045,116,177.8116
-2.526312,94,182.417417
-3.588549,85,186.589079
9.724165,70,190.080188
-0.902726,88,194.454054
-2.59749,75,198.189689
-2.856871,89,202.577411
9.581997,93,207.110031
-2.79701,90,211.506059
-4.020834,96,216.1423
-2.442906,103,221.113252
-1.077678,100,226.051638
-3.03615,115,231.731001
-4.917822,122,237.804921
-3.005197,113,243.381377
-1.361498,97,248.306651
-2.763967,118,254.269376
-2.040637,87,258.88008
-1.93642,115,264.641745
-3.221719,124,270.899587
-2.688235,66,274.277226
-3.108322,118,280.165504
-1.880358,76,283.973407
10.0,1,283.974575
-2.244742,94,288.598175
-2.847335,109,293.977659
-3.989011,82,298.090026
-1.274038,108,303.502393
-3.046779,119,309.446636
-3.493572,79,313.350133
-1.281122,80,317.31745
-2.071763,99,322.175126
-2.122119,111,327.608509
-1.280174,76,331.36133
-1.827821,124,337.487209
-5.153807,112,342.947618
-1.167679,93,347.494709
9.990262,4,347.670938
-4.435717,114,353.227876
-2.565373,128,359.649359
-0.930519,120,365.689413
-1.95721,85,369.882097
-2.701436,86,374.100143
-3.001322,100,378.954992
-3.248781,68,382.375164
-2.721829,75,386.080207
10.0,1,386.081351
-3.849779,99,390.875919
-2.69322,77,394.679954
-4.658317,116,400.419594
-3.05564,67,403.817253
-1.724013,123,409.905828
-4.498124,128,416.241126
-1.450097,96,420.949005
-0.879215,90,425.332989
-2.895015,92,429.852281
9.73164,66,433.149635
-1.355536,119,438.984173
-0.857486,75,442.709946
9.523093,107,447.917843
-1.838453,91,452.363472
-2.358451,104,457.438843
-1.077881,127,463.794139
-3.224494,92,468.276209
-2.684934,101,473.100157
-1.45994,97,477.801734
-4.303564,117,483.50526
9.919426,24,484.693784
-1.17851,77,488.513369
-2.118549,98,493.238053
-2.769096,126,540.393599
-2.788241,174,553.517899
-4.158804,157,564.408584
-5.884777,132,573.715521
-9.171112,146,585.14679
-3.492957,143,595.11817
-6.688076,118,603.571939
-2.990447,120,612.168837
-10.096149,129,621.316996
-11.519881,210,636.384925
-8.109756,163,647.47885
9.617231,119,656.218683
-3.710661,159,668.298912
-6.271001,170,679.713366
-5.057291,209,696.077239
-4.129478,153,706.627893
-4.717508,193,720.597987
10.0,1,720.599864
-6.193277,129,729.77214
-9.116667,130,738.999412
-4.686572,137,748.613473
-5.832398,139,759.669013
-9.028757,169,771.191761
-12.977776,194,785.452959
-3.752573,209,800.426778
-5.129155,109,808.515402
-3.943361,146,818.779436
-3.718736,114,827.058843
-2.54137,127,836.123219
9.979399,20,838.448318
-9.065991,196,852.624373
-2.525569,165,863.700833
-4.354565,138,873.285554
-3.516801,182,886.723852
-9.319504,161,898.993152
-6.106633,148,909.281073
-2.288527,130,918.480879
-4.540373,207,933.33568
-4.812585,155,945.259809
-4.620066,109,951.954376
-4.188599,144,963.20554
9.977933,19,964.169216
-6.369416,190,978.023763
-2.16379,162,988.981065
-6.425406,183,1002.397573
-7.106895,111,1010.502907
-2.701867,121,1019.155367
9.962918,38,1021.107367
-4.096627,192,1035.063451
-2.192303,105,1042.935302
-2.613121,207,1057.99919
-2.705398,124,1066.932404
-1.394518,100,1074.57306
