#{"t_start": 1619032831.0283458, "env_id": "JSBSim-v4"}
r,l,t
-14.187512,115,9.678931
-17.362486,114,15.421874
-14.91837,71,19.058473
-12.899078,125,25.194399
-18.4037,76,28.905245
-10.364784,124,34.998543
-6.177881,104,40.182024
-14.867992,79,44.213568
-6.053716,64,47.665557
-17.124892,69,51.148221
8.642722,31,52.767794
-14.027311,74,56.474736
-16.800786,79,60.359617
-13.222247,98,65.169921
-5.380757,110,70.450322
8.177041,73,74.146575
-3.321727,117,79.896092
-16.87871,95,84.427995
-3.228161,74,88.095927
-7.054571,75,91.740548
-7.680341,114,97.264815
-17.401708,96,101.845856
-16.890071,96,106.38361
-11.390882,111,111.667502
-7.499112,76,115.468569
-16.801305,104,120.375244
-12.219534,101,125.126799
-6.590288,119,130.959602
-3.903715,128,137.199052
-10.033771,95,141.753617
-0.364714,3,141.855375
-15.347658,107,146.989992
-4.654576,112,152.33155
-5.339762,81,156.272036
-6.199681,79,160.129705
-10.498707,98,164.808456
-17.796134,110,170.17997
0.209277,34,171.862308
-2.262424,71,175.363329
-5.816652,93,179.816407
-17.691553,75,183.67855
-10.824203,125,189.836443
-5.520678,105,194.958135
-12.594838,104,199.928489
-5.909233,125,206.127334
-14.836137,115,211.714927
-9.203472,120,217.568285
-17.26057,102,222.395353
-9.729459,108,227.548983
-7.744857,119,233.306578
-14.246078,103,238.237362
-16.876748,91,242.653083
-13.807872,88,247.000129
-6.706453,79,250.916441
-16.434671,75,254.565639
-9.649514,85,258.667943
-16.469185,128,264.9461
-6.809769,92,269.476685
-11.331878,123,275.608467
-16.205067,79,279.463917
-2.738598,111,284.882471
-12.200317,76,288.649461
-14.66406,116,294.402989
-14.069894,122,300.502733
-10.475826,118,306.27874
-6.854452,95,310.834454
-7.63404,74,314.440651
-15.104665,114,320.024727
-6.377647,87,324.284333
-2.302195,116,330.139366
-15.795638,70,333.68783
2.324921,1,333.735403
-4.75414,123,339.984894
-8.85213,80,343.970711
-2.444259,78,347.824235
-2.979886,80,351.743975
-18.502838,124,357.96365
-4.231701,81,361.915473
-14.865165,70,365.417197
-12.977664,110,370.865799
6.199101,1,370.899279
-9.43308,121,376.854422
-6.631121,71,380.514199
-1.415603,23,381.649947
-3.070652,71,385.197866
-4.648751,79,389.139387
-16.51513,109,394.421298
-11.039267,78,398.244068
-13.722689,104,403.303491
-17.723132,117,409.049154
-14.176038,119,414.909343
8.195905,11,415.475624
-15.661074,89,419.798886
-5.158455,115,425.456383
-10.942772,94,430.151842
-8.845721,102,435.065881
-4.610134,71,438.60526
-3.214679,89,442.89863
-9.700705,71,446.39483
-3.893957,86,450.565227
-2.522752,114,456.186035
-8.176419,115,461.804318
-1.300269,125,467.916918
-8.289303,67,471.314438
-7.432177,106,476.476411
-18.261337,88,480.73694
-6.204418,76,484.474112
-9.241744,67,487.789515
-13.375556,101,492.751428
-12.501001,136,536.452066
-15.385572,201,551.264822
-22.136774,209,567.675271
-13.125194,122,576.543065
-14.72341,170,587.953859
-16.42636,167,600.540055
-15.569649,177,613.619081
-10.383615,165,624.730082
-5.625435,172,637.424318
-25.047406,134,646.750862
-26.650691,205,661.469187
-2.196461,201,675.876591
-25.665199,167,688.309385
-9.801276,132,697.518912
-11.664499,159,708.456462
-9.9315,141,719.715548
-20.135302,192,733.787654
-7.505604,184,747.296224
-10.778207,170,758.776068
3.668875,3,758.931485
-10.405503,208,775.072734
-13.563094,178,786.888518
-7.190647,141,796.691319
-15.806486,153,808.545082
-11.244246,201,823.080362
-7.006826,169,835.834934
-15.353967,176,847.675598
-10.250724,192,861.788684
-21.246979,188,875.557546
-24.632107,112,883.753229
-26.465568,168,896.153492
-7.337782,199,910.449107
-13.764262,133,919.841009
-4.109469,116,928.396239
-5.759183,111,935.20165
-3.968229,204,951.197261
-8.130983,111,958.041209
-16.086908,158,970.169398
-15.356699,188,983.698902
-17.503279,178,996.869964
-11.419934,121,1004.159074
-11.557627,212,1020.588723
-12.715449,114,1028.908292
-7.852256,150,1039.238092
-8.138942,167,1051.835121
-7.331093,143,1061.720958
-11.89732,191,1075.634894
-5.099696,143,1085.57342
6.625215,47,1089.362886
-9.381297,172,1100.979268
-13.326574,154,1112.847911
-15.681593,158,1123.630732
-9.863371,107,1131.508893
-11.294537,199,1145.838286
-9.990554,131,1155.245127
-4.564345,43,1158.793212
0.943912,6,1159.119907
-7.748356,177,1172.283468
8.376358,82,1177.750907
-6.531715,153,1188.146352
-7.778586,206,1204.372901
-3.22454,134,1213.490864
-11.168612,168,1225.092087
-7.064948,138,1234.801886
-8.414328,148,1246.467269
-2.906483,187,1303.132801
-13.806494,192,1317.141267
-17.860118,153,1327.830496
-20.946379,158,1338.54852
-9.800441,189,1352.24776
-2.212744,164,1364.601363
-27.69191,208,1379.374282
-9.936053,178,1392.427527
-17.236274,145,1402.581061
-3.168195,172,1415.490801
-8.081114,131,1424.641525
-3.292741,107,1432.397171
-3.820188,23,1433.521563
-2.525069,128,1442.448461
-3.729133,118,1450.864467
-3.776562,116,1459.200629
-19.01104,192,1473.134519
-5.915667,150,1483.409214
-7.93292,171,1496.119937
-9.996863,180,1509.568483
-17.375822,165,1520.662714
-3.711094,1,1520.664858
-5.030679,114,1528.941519
-15.423602,128,1538.010653
-2.524141,129,1547.08172
-4.774489,128,1556.094032
-7.154948,162,1567.050948
-4.289042,206,1583.253813
-19.227502,109,1590.036283
-8.772366,138,1600.881935
-5.331536,117,1608.025273
7.007723,35,1611.061631
-7.223315,142,1620.863847
-4.386677,132,1630.212393
-17.722693,109,1638.063998
-16.755263,169,1650.764173
