#{"t_start": 1621537662.461452, "env_id": "JSBSim-v2"}
r,l,t
-1.91177,96,9.229708
-0.960137,49,12.832255
-0.745772,97,18.881211
-1.949748,65,23.215042
-1.923982,33,25.787293
-2.875737,53,29.705548
9.993157,12,31.195103
-2.556144,49,34.839638
9.991875,14,36.449406
-2.320668,89,82.986839
-1.449266,66,87.461515
-1.633284,108,94.103183
-0.94744,81,99.319419
-2.505607,29,101.724463
-1.30405,91,107.489084
-2.761848,59,111.622078
