#{"t_start": 1618955578.370203, "env_id": "JSBSim-v2"}
r,l,t
-2.038228,81,8.006165
-3.905948,126,14.424611
-2.289747,101,19.352809
-3.03339,84,23.4419
-4.421551,114,28.923962
-2.330755,90,33.28694
-3.629194,104,38.307599
-3.163919,73,41.918267
-3.703763,101,46.735177
-1.81562,96,51.342885
-4.785743,89,55.602278
-4.105812,109,60.940195
-1.60541,110,66.413589
-2.987245,75,70.150542
-1.894861,132,76.723059
-3.798077,121,82.585672
-2.1561,105,87.597265
-2.202464,111,93.076314
-2.718522,117,98.775701
-1.578316,99,103.582005
-2.211454,124,109.809123
-3.319348,91,114.279662
-3.201826,120,120.236985
-4.511951,124,126.250457
-2.452274,80,130.21217
-2.795007,90,134.622916
-1.715185,78,138.526726
-2.150617,79,142.452338
-2.325587,76,146.209931
-2.61636,68,149.631053
-4.235701,111,155.206385
-3.630977,127,161.340853
-1.169326,90,165.680778
-3.319133,68,169.199491
-2.763309,95,173.861626
-2.237529,85,178.223768
-0.940259,73,182.076552
-1.299351,79,185.932481
9.992085,23,187.076609
-1.607504,125,193.208732
9.944802,56,196.049663
-2.322281,123,202.05494
-4.386085,71,205.53342
-5.38857,109,210.788336
-2.355423,94,215.312253
-3.785509,111,220.719867
-1.145312,106,225.815463
-2.574522,82,229.873691
-2.618304,121,235.815539
-1.178652,102,240.702702
-1.652062,110,246.12095
-3.470947,71,249.697593
-3.032549,100,254.546945
-4.767355,108,259.846269
-2.164947,72,263.391013
-0.647224,88,267.711349
-2.212196,101,272.546686
-1.137102,111,277.865811
-3.988601,122,283.814871
-3.608158,67,287.173142
-2.899014,89,291.552805
-2.488922,105,296.709243
-1.622046,92,301.171536
-3.851554,111,306.548877
-1.443407,121,312.548514
-1.37231,69,315.960022
-1.601654,104,320.992916
-3.323218,74,324.71131
-3.862614,106,329.839566
-1.642453,88,334.065992
-1.103977,72,337.774388
-5.058628,129,344.199649
-4.11892,115,349.864556
-2.880141,69,353.355316
-4.127705,82,357.477568
-1.460751,74,361.166145
-1.907826,123,367.263896
-1.718127,108,372.624252
-1.298121,100,377.595234
-1.752993,91,382.074679
-1.714615,112,387.621527
-1.87246,93,392.221145
-1.701165,109,397.728668
-4.201471,81,401.688057
-3.526617,116,407.303656
-2.336997,68,410.657416
-3.936255,85,414.76767
-3.612091,112,420.165183
-4.089023,112,425.588839
-3.13426,106,430.841543
-3.14092,95,435.576515
-3.1299,87,439.918728
-2.867029,116,445.790315
-0.882761,96,450.453692
-3.388717,106,455.539344
-1.618171,97,460.229554
9.997647,9,460.674418
-3.453315,67,464.119944
-2.231009,111,469.565814
-4.978953,73,473.300434
-3.911638,80,477.342522
-3.815725,98,482.064161
-3.667983,80,485.997093
-1.388441,107,491.340774
9.931958,74,495.025465
9.994289,12,495.642072
-7.518633,135,544.168895
10.0,1,544.17092
-11.906563,131,553.30366
-10.626981,184,566.719102
-4.82114,117,575.05361
-8.602896,197,589.14402
-7.892785,202,603.475066
-6.342198,109,610.104031
-9.06989,202,626.177583
-5.937519,160,636.933811
-7.509259,181,650.151883
