#{"t_start": 1618914779.2449338, "env_id": "JSBSim-v1"}
r,l,t
-0.251743,136,1854.104806
-11.861424,139,1863.747273
-1.658095,117,1872.100851
-1.324286,135,1881.458209
-4.621951,134,1890.751386
-4.371397,140,1901.691121
-1.439375,127,1910.689749
-9.833954,141,1920.445232
-9.938976,176,1933.393584
-1.987623,102,1939.620045
-2.55383,146,1949.61884
-5.386096,140,1960.558741
-8.24878,200,2011.090572
-1.706325,109,2017.754675
-1.672366,167,2030.168493
13.980906,26,2031.441706
-0.990457,159,2043.509535
-7.88337,157,2054.160119
-0.553675,145,2065.4345
-1.242158,144,2075.315612
1.059982,156,2085.897624
-10.301526,127,2094.840517
-3.672524,181,2108.116683
-2.297379,125,2117.004228
-10.515686,165,2129.406919
-1.217984,148,2139.492959
0.148386,103,2147.087398
-5.338949,161,2157.909143
-1.082934,159,2169.988789
6.092935,31,2171.559809
-2.122641,105,2179.313366
-4.704783,163,2190.234376
0.097839,177,2203.287512
-8.752166,97,2210.615661
-1.173932,105,2217.024543
-10.132594,161,2229.098707
1.024894,114,2236.018166
-0.988755,157,2247.861027
-5.345297,104,2255.485312
-13.926903,182,2267.494526
-1.043721,198,2282.95649
1.068192,166,2294.052619
-2.527148,120,2302.589455
0.165356,198,2316.735086
-0.168908,111,2324.844273
13.344552,36,2326.650469
10.700305,1,2326.652548
-2.169676,159,2338.704712
0.62317,99,2344.829372
2.454718,141,2355.830363
-3.615118,123,2364.589337
13.978762,1,2364.591469
0.702359,83,2370.004957
-9.884447,121,2378.577523
2.049356,159,2389.297988
-1.822946,124,2398.039356
-11.114114,176,2411.038583
-2.122708,127,2419.950825
5.220973,28,2421.343177
2.204616,146,2432.540913
5.5533,10,2433.036263
11.329425,33,2434.662351
0.355933,142,2445.692388
-3.813822,113,2452.516304
-3.039665,191,2466.313516
-3.611575,147,2477.691595
-1.797091,102,2483.99186
0.106009,120,2492.530648
-6.850228,183,2505.885846
-0.296025,97,2511.926316
-1.762113,150,2523.465204
11.112286,18,2524.390436
-2.218888,151,2534.70549
-11.171285,195,2548.778346
12.443609,33,2551.756686
-1.297495,146,2561.705927
-9.554137,170,2574.396564
-6.824159,133,2583.686191
-5.448656,156,2594.27195
-6.297801,172,2607.043035
-3.144355,99,2614.43287
-5.253624,168,2625.658462
-9.568988,165,2637.992648
-0.273557,120,2646.562044
-2.32,108,2653.157101
-2.214525,160,2665.164621
-5.341173,131,2674.322876
-0.153058,120,2682.825578
-3.17214,153,2693.177306
