#{"t_start": 1618990120.2806196, "env_id": "JSBSim-v3"}
r,l,t
-6.840258,89,8.68058
5.746146,13,9.363146
-7.277805,93,14.115591
7.736807,2,14.177174
-7.240119,91,18.773618
-2.782987,84,22.929873
-6.05261,90,27.348518
-1.610238,78,31.252498
-5.860823,83,35.35856
7.959533,2,35.437321
5.2508,1,35.456533
-3.782333,117,41.240419
-2.829519,75,44.993086
-7.831557,94,49.614302
-4.979843,102,54.562176
-6.834538,98,59.423054
-3.417353,78,63.336864
-5.498197,85,67.569792
-6.650688,84,71.754406
-3.095459,93,76.371273
-4.17109,74,80.070876
-4.806924,98,84.921463
8.301098,32,86.549668
-4.398321,108,91.864488
-4.206787,112,97.436349
-1.838884,73,101.074036
-4.511741,74,104.740341
-6.728194,103,109.711185
-5.841463,108,114.986403
-4.215439,106,120.133093
-7.103736,104,125.191882
-5.093756,100,130.022209
-5.173429,92,134.526643
-6.406058,73,138.156974
-6.13579,118,143.999139
-7.875401,74,147.693794
-2.670024,92,152.207022
-5.098436,97,156.927677
-5.075819,110,162.319133
-4.727253,107,167.51346
-5.074691,110,172.914209
-4.518771,131,179.455961
-5.695324,97,184.163617
-2.753623,100,189.016616
8.177721,32,190.644143
-6.135054,85,194.807257
-4.395956,94,199.381582
-3.608295,81,203.362223
-2.149532,88,207.684533
-4.15702,114,213.262778
-8.472115,117,219.005139
-2.507084,118,224.830104
-6.312681,75,228.549824
-3.13669,110,233.912563
5.893539,26,235.172142
-5.645571,75,238.896516
-6.299101,120,244.863424
-4.447972,115,250.550729
-6.827287,112,256.045959
-7.609417,104,261.073274
-7.188726,91,265.551984
-5.111856,118,271.364077
-3.966107,77,275.205137
-5.860586,97,279.95392
9.957141,20,280.965858
-5.333087,78,284.823963
-1.631389,102,289.760751
-4.955785,91,294.191064
8.46746,21,295.262762
-1.77516,99,300.076407
-4.403158,115,305.758115
-1.143406,117,311.505758
-4.679314,104,316.542319
-4.815345,83,320.605402
-4.226923,88,324.931269
-6.355,119,330.789187
-5.511677,91,335.250732
-3.103612,114,340.868268
-7.675382,109,346.205836
-5.453825,117,352.006115
-5.734876,114,357.623555
-4.431701,128,363.991569
-8.978239,129,370.423411
-4.498589,117,376.247236
-4.56201,100,381.112606
-6.598709,73,384.771358
-5.378845,71,388.332672
6.050045,13,389.018195
-1.704859,69,392.495758
-3.202872,73,396.127211
-3.859186,124,402.24882
-4.890954,94,406.824215
-6.340242,124,412.97315
6.271756,81,416.973835
-4.150147,71,420.544081
-3.264117,70,424.069571
-5.635173,102,429.015096
-5.807455,89,433.356545
-4.960088,105,438.465558
-1.639551,122,444.494586
-3.861348,112,449.969482
-6.167731,109,455.298729
-2.900437,88,459.63982
7.205647,64,462.873594
-4.645546,130,469.359024
-4.301335,101,474.246339
-5.954806,65,477.548981
-5.625836,91,481.98547
-4.111356,101,486.880894
-5.436535,103,491.860465
-3.09108,87,496.149967
